Measure:volume	m031	m034	m035	m036	m038	m039	m042	m043	m134	m144
rhCortexVol	15.3998	15.7232	15.7099	15.2455	15.4628	15.4486	14.6236	13.8249	16.515	14.8439
CortexVol	30.785	31.1748	31.1971	30.5694	31.1857	30.8763	29.2253	27.8742	33.066	29.5439
lhCerebralWhiteMatterVol	14.7315	15.2891	14.3719	16.1066	15.4749	15.7294	15.3493	15.358	14.9388	15.529
rhCerebralWhiteMatterVol	14.7901	15.6398	14.6565	15.8623	15.8414	15.8365	15.2776	15.4772	15.0608	15.4316
CerebralWhiteMatterVol	29.5216	30.9289	29.0284	31.9689	31.3163	31.5659	30.6269	30.8352	29.9996	30.9605
SubCortGrayVol	3.89067	3.70508	3.97343	3.88697	4.0202	3.57508	3.99845	3.33817	3.70511	3.89898
TotalGrayVol	41.1456	42.2735	42.8849	41.5342	41.9022	41.6272	40.5781	37.5637	43.9097	40.7522
SupraTentorialVol	65.1856	67.3607	66.8802	67.4523	67.3377	67.6387	64.8546	63.4029	67.9675	65.4414
SupraTentorialVolNotVent	64.3581	66.1421	64.4885	66.6422	66.7543	66.2321	64.0521	62.2841	66.9947	64.6604
SupraTentorialVolNotVentVox	64.2784	65.9732	64.2714	66.4849	66.5777	66.069	63.8888	62.1053	66.8298	64.4959
MaskVol	99.7742	108.372	102.481	108.25	109.138	107.838	103.125	99.2779	100.31	106.733
BrainSegVol-to-eTIV	0.7355	0.769852	0.767026	0.766316	0.768389	0.765188	0.743203	0.727223	0.766229	0.75543
MaskVol-to-eTIV	0.997742	1.08372	1.02482	1.0825	1.09138	1.07838	1.03125	0.992779	1.0031	1.06733
lhSurfaceHoles	39	103	74	64	66	56	57	59	57	60
rhSurfaceHoles	44	82	80	70	55	60	46	48	71	55
SurfaceHoles	83	185	154	134	121	116	103	107	128	115
EstimatedTotalIntraCranialVol	100	100	100	100	100	100	100	100	100	100
